category,name,orig_bytes,simd_bytes,lz4_bytes,lz4_flex_bytes,snap_bytes,zstd_bytes,simd_ratio,lz4_ratio,lz4_flex_ratio,snap_ratio,zstd_ratio,ratio_vs_lz4,simd_comp_1c_gb,simd_comp_16c_gb,lz4_comp_1c_gb,lz4_flex_comp_1c_gb,snap_comp_1c_gb,zstd_comp_1c_gb,simd_decomp_1c_raw_gb,simd_decomp_1c_ver_gb,simd_decomp_16c_raw_gb,simd_decomp_16c_ver_gb,lz4_decomp_1c_gb,lz4_flex_decomp_1c_gb,snap_decomp_1c_gb,zstd_decomp_1c_gb
silesia,dickens,10192446,7593717,6428742,6429559,6340267,4261734,1.3422,1.5854,1.5852,1.6076,2.3916,0.8466,0.32,2.52,0.56,0.44,0.46,0.40,2.67,2.41,7.20,7.01,4.88,4.24,1.40,1.82
silesia,mozilla,51220480,28967665,26435667,26489333,26690826,19968503,1.7682,1.9376,1.9336,1.9190,2.5651,0.9126,0.44,4.11,0.91,0.67,0.84,0.64,3.68,3.09,17.51,16.37,4.93,3.88,2.16,1.70
silesia,mr,9970564,6318986,5440937,5460624,5440451,3813409,1.5779,1.8325,1.8259,1.8327,2.6146,0.8610,0.39,2.97,0.88,0.87,0.79,0.58,3.61,3.04,7.66,7.72,5.43,4.04,1.80,2.00
silesia,nci,33553445,6229495,5533040,5533063,6146795,2848578,5.3862,6.0642,6.0642,5.4587,11.7790,0.8882,1.21,8.90,1.55,1.22,1.51,1.20,6.38,5.01,18.96,18.02,7.56,5.79,3.71,3.05
silesia,ooffice,6152192,4588060,4338918,4363509,4311901,3593224,1.3409,1.4179,1.4099,1.4268,1.7122,0.9457,0.24,1.90,0.77,0.81,0.61,0.56,3.30,2.60,5.35,5.36,4.79,4.05,1.90,1.54
silesia,osdb,10085684,4891288,5256666,5279833,5412825,3729819,2.0620,1.9186,1.9102,1.8633,2.7041,1.0747,0.47,3.22,0.82,0.78,0.89,0.63,6.05,4.69,8.21,8.29,5.30,4.00,2.58,2.03
silesia,reymont,6627202,4167871,3181387,3183601,3234968,2149170,1.5901,2.0831,2.0817,2.0486,3.0836,0.7633,0.42,2.73,0.57,0.50,0.59,0.44,2.83,2.34,5.82,5.59,4.12,3.85,1.67,1.80
silesia,samba,21606400,8873864,7716839,7718089,8057361,5487600,2.4348,2.7999,2.7994,2.6816,3.9373,0.8696,0.67,4.79,0.96,0.84,1.01,0.74,4.72,3.87,13.39,12.88,5.64,4.28,2.53,2.52
silesia,sao,7251944,6884207,6790273,6820619,6469352,6250010,1.0534,1.0680,1.0632,1.1210,1.1603,0.9864,0.21,1.88,0.83,0.93,0.60,0.52,4.58,3.75,6.63,6.71,7.12,5.71,2.12,1.51
silesia,webster,41458703,23230652,20139988,20142377,20211213,13661986,1.7847,2.0585,2.0583,2.0513,3.0346,0.8670,0.41,3.71,0.65,0.53,0.60,0.50,3.44,3.00,15.59,15.45,4.81,3.96,1.66,1.94
silesia,xml,5345280,1405564,1227495,1227627,1308581,693317,3.8029,4.3546,4.3542,4.0848,7.7097,0.8733,0.94,3.56,1.22,1.07,1.19,1.04,5.78,4.47,4.35,4.80,5.65,4.55,2.76,3.02
silesia,x-ray,8474240,8384860,8390195,8415890,8459794,6772118,1.0107,1.0100,1.0069,1.0017,1.2513,1.0006,0.21,1.97,2.17,2.95,16.72,1.06,13.03,7.82,7.52,7.37,18.77,22.71,34.78,1.84
enwik8,enwik8,100000000,65566404,57262281,57286048,56555035,40662735,1.5252,1.7464,1.7456,1.7682,2.4593,0.8733,0.34,3.49,0.68,0.49,0.54,0.47,3.03,2.65,19.83,19.54,5.14,4.12,1.59,1.79
workload,JSON Logs,26214400,3693227,3349634,3351178,3873807,1200391,7.0980,7.8260,7.8224,6.7671,21.8382,0.9070,2.19,11.19,2.46,2.01,3.05,2.31,11.43,7.18,17.43,16.42,12.03,8.71,6.17,5.14
workload,Columnar DB,26214400,15539382,12077511,12077511,10334574,1709314,1.6870,2.1705,2.1705,2.5366,15.3362,0.7772,0.87,5.23,0.97,0.87,1.16,1.27,3.08,2.68,10.64,10.07,3.12,2.97,2.21,3.34
workload,Binary RPC,26214400,2844745,2830060,2834889,2850195,888341,9.2150,9.2628,9.2471,9.1974,29.5094,0.9948,3.80,14.19,3.40,2.75,6.82,2.80,12.44,7.50,18.01,16.78,12.61,10.87,12.18,6.38
workload,Source Code,26214400,835586,106131,106171,2347884,4873,31.3725,247.0004,246.9073,11.1651,5379.5198,0.1270,5.81,18.05,14.94,10.52,6.27,12.38,26.26,11.07,19.66,16.90,31.74,41.75,11.04,35.31
