category,name,orig_bytes,simd_comp_bytes,simd_ratio,lz4_ratio,snap_ratio,zstd_ratio,ratio_deficit_pct,simd_comp_1c_gb,simd_comp_16c_gb,lz4_comp_1c_gb,snap_comp_1c_gb,zstd_comp_1c_gb,simd_decomp_1c_raw_gb,simd_decomp_1c_ver_gb,simd_decomp_16c_raw_gb,simd_decomp_16c_ver_gb,lz4_decomp_1c_gb,snap_decomp_1c_gb,zstd_decomp_1c_gb
silesia,dickens,10192446,7595273,1.3419,1.5852,1.6076,2.3916,-15.35,0.31,2.19,0.47,0.47,0.37,1.47,1.44,4.96,4.71,3.69,1.38,1.42
silesia,mozilla,51220480,28942163,1.7698,1.9336,1.9190,2.5651,-8.47,0.38,1.61,0.70,0.65,0.48,2.01,2.05,14.01,14.78,2.90,1.92,0.74
silesia,mr,9970564,6319096,1.5778,1.8259,1.8327,2.6124,-13.59,0.42,2.67,0.86,0.75,0.51,2.00,1.81,5.78,5.92,3.89,1.89,1.67
silesia,nci,33553445,6206043,5.4066,6.0642,5.4587,11.7784,-10.84,1.08,6.86,1.19,1.38,1.06,4.75,4.23,17.65,19.27,4.49,3.43,0.97
silesia,ooffice,6152192,4587445,1.3411,1.4099,1.4268,1.7099,-4.88,0.26,1.86,0.77,0.61,0.48,1.82,1.70,3.32,3.15,3.68,1.86,1.23
silesia,osdb,10085684,4887897,2.0634,1.9102,1.8633,2.7041,8.02,0.49,2.86,0.78,0.88,0.54,4.30,3.46,6.23,5.27,3.56,2.56,1.50
silesia,reymont,6627202,4166967,1.5904,2.0817,2.0486,3.0870,-23.60,0.42,2.01,0.50,0.59,0.38,1.56,1.44,3.35,3.32,3.44,1.61,1.39
silesia,samba,21606400,8864644,2.4374,2.7994,2.6816,3.9339,-12.93,0.63,4.27,0.80,0.91,0.66,2.92,2.63,10.90,11.66,3.84,2.38,0.84
silesia,sao,7251944,6880289,1.0540,1.0632,1.1210,1.1605,-0.87,0.22,2.11,0.89,0.62,0.43,2.48,2.28,4.30,4.40,4.78,2.06,1.24
silesia,webster,41458703,23229016,1.7848,2.0583,2.0513,3.0346,-13.29,0.36,1.65,0.52,0.51,0.43,1.78,1.77,15.32,14.33,2.97,1.50,0.80
silesia,xml,5345280,1398107,3.8232,4.3542,4.0848,7.6995,-12.19,0.89,2.29,1.06,1.13,0.90,4.02,3.41,2.52,2.45,4.28,2.79,2.19
silesia,x-ray,8474240,8299533,1.0211,1.0069,1.0017,1.2514,1.40,0.21,2.35,2.72,8.08,0.87,3.35,2.87,4.19,4.27,16.65,26.80,1.35
workload,JSON Logs,26214400,3752891,6.9851,7.8224,6.7671,21.8355,-10.70,2.11,10.73,2.01,2.34,2.00,10.59,6.80,11.58,17.57,5.87,4.91,1.03
workload,Columnar DB,26214400,15597013,1.6807,2.1705,2.5366,15.3362,-22.57,0.77,4.30,0.84,1.06,1.15,3.18,2.71,7.90,9.25,2.37,1.91,1.00
workload,Binary RPC,26214400,2732306,9.5942,9.2471,9.1974,29.5085,3.75,3.69,12.58,2.56,5.06,2.23,14.57,8.24,16.14,19.18,8.34,8.55,1.06
workload,Source Code,26214400,1653783,15.8512,246.7214,11.1315,5269.2261,-93.58,5.41,14.58,7.86,4.42,8.83,16.30,9.13,13.27,14.69,18.11,7.94,1.39
