category,name,orig_bytes,simd_bytes,lz4_bytes,lz4_flex_bytes,snap_bytes,zstd_bytes,simd_ratio,lz4_ratio,lz4_flex_ratio,snap_ratio,zstd_ratio,ratio_vs_lz4,simd_comp_1c_gb,simd_comp_16c_gb,lz4_comp_1c_gb,lz4_flex_comp_1c_gb,snap_comp_1c_gb,zstd_comp_1c_gb,simd_decomp_1c_raw_gb,simd_decomp_1c_ver_gb,simd_decomp_16c_raw_gb,simd_decomp_16c_ver_gb,lz4_decomp_1c_gb,lz4_flex_decomp_1c_gb,snap_decomp_1c_gb,zstd_decomp_1c_gb
silesia,dickens,10192446,5969970,6428742,6429559,6340267,4261734,1.7073,1.5854,1.5852,1.6076,2.3916,1.0768,0.31,1.66,0.57,0.44,0.47,0.43,2.80,2.46,7.51,7.27,5.02,4.28,1.39,1.81
silesia,mozilla,51220480,25506737,26435667,26489333,26690826,19968503,2.0081,1.9376,1.9336,1.9190,2.5651,1.0364,0.43,4.02,0.96,0.72,0.85,0.63,3.35,2.86,17.85,16.64,5.04,3.89,2.16,1.70
silesia,mr,9970564,5364252,5440937,5460624,5440451,3813409,1.8587,1.8325,1.8259,1.8327,2.6146,1.0143,0.40,2.80,0.91,0.89,0.79,0.58,3.39,2.89,8.06,7.78,5.88,4.47,1.89,2.04
silesia,nci,33553445,5621230,5533040,5533063,6146795,2848578,5.9691,6.0642,6.0642,5.4587,11.7790,0.9843,1.07,8.33,1.59,1.24,1.57,1.21,6.04,4.61,18.80,17.90,7.51,5.70,3.66,3.01
silesia,ooffice,6152192,4119422,4338918,4363509,4311901,3593224,1.4935,1.4179,1.4099,1.4268,1.7122,1.0533,0.24,1.81,0.80,0.81,0.62,0.53,2.56,2.33,5.53,5.57,4.95,4.04,1.81,1.51
silesia,osdb,10085684,4678175,5256666,5279833,5412825,3729819,2.1559,1.9186,1.9102,1.8633,2.7041,1.1237,0.46,3.43,0.86,0.84,0.92,0.63,4.79,3.84,8.63,8.43,5.42,4.08,2.73,2.11
silesia,reymont,6627202,3261729,3181387,3183601,3234968,2149170,2.0318,2.0831,2.0817,2.0486,3.0836,0.9754,0.40,2.64,0.59,0.52,0.62,0.43,2.96,2.62,5.90,5.61,4.34,3.86,1.63,1.80
silesia,samba,21606400,7543808,7716839,7718089,8057361,5487600,2.8641,2.7999,2.7994,2.6816,3.9373,1.0229,0.65,5.01,0.99,0.88,0.97,0.73,4.60,3.72,13.06,12.73,5.89,4.62,2.52,2.49
silesia,sao,7251944,6680182,6790273,6820619,6469352,6250010,1.0856,1.0680,1.0632,1.1210,1.1603,1.0165,0.21,1.82,0.85,0.99,0.63,0.53,3.52,2.91,6.58,6.53,7.33,5.72,2.07,1.55
silesia,webster,41458703,18750009,20139988,20142377,20211213,13661986,2.2111,2.0585,2.0583,2.0513,3.0346,1.0741,0.38,3.61,0.67,0.53,0.59,0.48,3.46,2.98,16.40,15.38,5.07,3.96,1.68,1.92
silesia,xml,5345280,1175345,1227495,1227627,1308581,693317,4.5478,4.3546,4.3542,4.0848,7.7097,1.0444,0.86,3.40,1.27,1.10,1.14,1.01,5.38,4.25,4.67,4.66,5.73,4.70,2.87,3.08
silesia,x-ray,8474240,7883543,8390195,8415890,8459794,6772118,1.0749,1.0100,1.0069,1.0017,1.2513,1.0643,0.20,1.91,2.22,2.73,15.05,1.03,3.78,3.18,7.72,7.57,18.79,20.75,34.16,1.86
enwik8,enwik8,100000000,53575805,57262281,57286048,56555035,40662735,1.8665,1.7464,1.7456,1.7682,2.4593,1.0688,0.32,3.27,0.66,0.51,0.52,0.48,2.98,2.60,20.17,19.43,5.24,4.22,1.51,1.77
workload,JSON Logs,26214400,3715017,3349634,3351178,3873807,1200391,7.0563,7.8260,7.8224,6.7671,21.8382,0.9016,1.96,10.61,2.58,2.05,3.02,2.22,10.34,6.92,17.54,16.38,12.58,8.37,6.57,5.76
workload,Columnar DB,26214400,12132857,12077511,12077511,10334574,1709314,2.1606,2.1705,2.1705,2.5366,15.3362,0.9954,0.75,5.12,1.00,0.83,1.16,1.28,3.19,2.73,11.49,10.87,3.14,2.97,2.15,3.43
workload,Binary RPC,26214400,3235003,2830060,2834889,2850195,888341,8.1034,9.2628,9.2471,9.1974,29.5094,0.8748,3.38,12.96,3.43,3.03,6.60,2.71,11.28,7.10,16.79,16.40,13.09,10.93,12.64,6.58
workload,Source Code,26214400,353377,106212,106211,2349228,5079,74.1825,246.8120,246.8144,11.1587,5161.3310,0.3006,7.15,21.84,17.25,13.62,6.95,14.06,34.53,11.15,17.82,17.75,31.58,43.66,12.02,34.74
