category,name,orig_bytes,simd_comp_bytes,simd_ratio,lz4_ratio,snap_ratio,zstd_ratio,ratio_deficit_pct,simd_comp_1c_gb,simd_comp_16c_gb,lz4_comp_1c_gb,snap_comp_1c_gb,zstd_comp_1c_gb,simd_decomp_1c_raw_gb,simd_decomp_1c_ver_gb,simd_decomp_16c_raw_gb,simd_decomp_16c_ver_gb,lz4_decomp_1c_gb,snap_decomp_1c_gb,zstd_decomp_1c_gb
silesia,dickens,10192446,8072099,1.2627,1.5852,1.6076,2.3916,-20.35,0.36,2.38,0.47,0.46,0.37,1.49,1.39,4.88,4.49,3.77,1.37,1.42
silesia,mozilla,51220480,30194846,1.6963,1.9336,1.9190,2.5651,-12.27,0.42,1.51,0.63,0.69,0.49,1.85,1.76,15.14,12.59,2.86,1.87,0.76
silesia,mr,9970564,6903715,1.4442,1.8259,1.8327,2.6124,-20.90,0.47,2.96,0.82,0.74,0.53,1.94,1.63,5.74,5.41,3.95,1.86,1.53
silesia,nci,33553445,6892826,4.8679,6.0642,5.4587,11.7784,-19.73,1.27,7.63,1.21,1.33,1.01,4.71,3.82,18.66,16.50,4.57,3.41,0.94
silesia,ooffice,6152192,4727943,1.3012,1.4099,1.4268,1.7099,-7.71,0.35,1.98,0.73,0.59,0.44,1.67,1.47,3.20,3.21,3.69,1.86,1.25
silesia,osdb,10085684,5333516,1.8910,1.9102,1.8633,2.7041,-1.01,0.46,2.71,0.74,0.87,0.56,3.79,2.91,6.99,6.36,3.71,2.66,1.57
silesia,reymont,6627202,4541053,1.4594,2.0817,2.0486,3.0870,-29.89,0.51,2.36,0.52,0.60,0.39,1.72,1.52,3.35,3.48,3.40,1.59,1.40
silesia,samba,21606400,9454673,2.2853,2.7994,2.6816,3.9339,-18.37,0.72,4.59,0.80,0.91,0.65,2.86,2.36,11.42,10.16,3.79,2.33,0.85
silesia,sao,7251944,6976631,1.0395,1.0632,1.1210,1.1605,-2.24,0.37,2.30,0.83,0.62,0.44,2.39,1.94,4.23,4.14,4.99,2.03,1.24
silesia,webster,41458703,24953890,1.6614,2.0583,2.0513,3.0346,-19.28,0.39,1.71,0.51,0.50,0.43,1.73,1.58,14.57,12.70,3.16,1.58,0.75
silesia,xml,5345280,1544555,3.4607,4.3542,4.0848,7.6995,-20.52,1.04,2.38,1.06,1.17,0.92,4.16,3.06,2.48,2.57,4.29,2.78,1.80
silesia,x-ray,8474240,8467933,1.0007,1.0069,1.0017,1.2514,-0.61,0.46,2.62,2.50,7.02,0.86,19.85,7.20,3.92,3.89,16.48,26.60,1.34
workload,JSON Logs,26214400,4297083,6.1005,7.8224,6.7671,21.8355,-22.01,1.94,8.40,1.93,2.31,1.94,9.07,4.92,14.96,15.05,6.20,4.71,1.02
workload,Columnar DB,26214400,17060577,1.5365,2.1705,2.5366,15.3362,-29.21,0.81,4.31,0.85,1.05,1.10,2.71,2.28,9.06,8.72,2.37,1.87,0.97
workload,Binary RPC,26214400,2861970,9.1596,9.2471,9.1974,29.5085,-0.95,3.45,13.39,2.55,5.30,2.39,11.68,5.94,16.87,15.12,8.63,9.03,1.17
workload,Source Code,26214400,1647092,15.9156,247.5556,11.7063,5716.1797,-93.57,6.13,14.37,10.09,4.49,9.92,18.04,7.07,13.67,15.16,16.20,8.27,1.35
