category,name,orig_bytes,simd_comp_bytes,simd_ratio,lz4_ratio,snap_ratio,zstd_ratio,ratio_deficit_pct,simd_comp_1c_gb,simd_comp_16c_gb,lz4_comp_1c_gb,snap_comp_1c_gb,zstd_comp_1c_gb,simd_decomp_1c_raw_gb,simd_decomp_1c_ver_gb,simd_decomp_16c_raw_gb,simd_decomp_16c_ver_gb,lz4_decomp_1c_gb,snap_decomp_1c_gb,zstd_decomp_1c_gb
silesia,dickens,10192446,8026456,1.2699,1.5852,1.6076,2.3916,-19.90,0.35,2.22,0.47,0.47,0.36,1.64,1.55,4.50,4.40,3.74,1.34,1.23
silesia,mozilla,51220480,30089235,1.7023,1.9336,1.9190,2.5651,-11.96,0.42,1.45,0.69,0.66,0.47,1.84,1.91,13.19,12.01,2.83,1.89,0.72
silesia,mr,9970564,6908116,1.4433,1.8259,1.8327,2.6124,-20.95,0.48,2.73,0.84,0.78,0.52,2.12,1.84,5.98,4.79,3.87,1.87,1.59
silesia,nci,33553445,6870278,4.8839,6.0642,5.4587,11.7784,-19.46,1.24,7.72,1.19,1.36,1.02,5.11,4.58,15.88,20.91,4.49,3.27,0.93
silesia,ooffice,6152192,4696662,1.3099,1.4099,1.4268,1.7099,-7.09,0.29,2.03,0.78,0.58,0.46,1.70,1.60,3.15,3.24,3.66,1.84,1.17
silesia,osdb,10085684,5122830,1.9688,1.9102,1.8633,2.7041,3.06,0.55,2.85,0.77,0.83,0.57,4.80,3.69,5.66,6.51,3.62,2.76,1.69
silesia,reymont,6627202,4520876,1.4659,2.0817,2.0486,3.0870,-29.58,0.47,2.22,0.49,0.57,0.39,1.95,1.81,3.37,3.46,3.44,1.60,1.35
silesia,samba,21606400,9421037,2.2934,2.7994,2.6816,3.9339,-18.08,0.74,4.34,0.80,0.88,0.64,2.89,2.53,10.71,9.98,3.73,2.41,0.87
silesia,sao,7251944,6923174,1.0475,1.0632,1.1210,1.1605,-1.48,0.24,2.13,0.92,0.62,0.43,2.58,2.38,4.36,4.18,4.86,2.02,1.30
silesia,webster,41458703,24773731,1.6735,2.0583,2.0513,3.0346,-18.69,0.39,1.70,0.50,0.48,0.43,1.85,1.86,12.79,14.46,2.99,1.53,0.80
silesia,xml,5345280,1538319,3.4748,4.3542,4.0848,7.6995,-20.20,0.99,2.41,1.08,1.14,0.86,4.28,3.58,2.50,2.55,4.27,2.82,2.20
silesia,x-ray,8474240,8421684,1.0062,1.0069,1.0017,1.2514,-0.07,0.23,2.45,2.63,7.41,0.89,6.23,4.55,3.92,3.98,15.72,25.19,1.34
workload,JSON Logs,26214400,4293925,6.1050,7.8224,6.7671,21.8355,-21.96,2.07,10.68,1.96,2.13,1.98,9.57,6.53,15.98,15.30,6.30,5.41,1.04
workload,Columnar DB,26214400,17060319,1.5366,2.1705,2.5366,15.3362,-29.21,0.81,4.18,0.83,1.08,1.13,2.84,2.53,8.57,8.91,2.37,2.01,1.01
workload,Binary RPC,26214400,2861528,9.1610,9.2471,9.1974,29.5085,-0.93,3.82,13.42,2.52,5.09,2.32,11.27,7.14,14.80,13.66,8.21,8.97,1.12
workload,Source Code,26214400,1641819,15.9667,247.5556,11.7063,5716.1797,-93.55,6.42,12.39,9.94,4.35,7.89,16.55,9.18,9.56,15.95,20.26,8.53,1.41
