category,name,orig_bytes,simd_comp_bytes,simd_ratio,lz4_ratio,snap_ratio,zstd_ratio,ratio_deficit_pct,simd_comp_1c_gb,simd_comp_16c_gb,lz4_comp_1c_gb,snap_comp_1c_gb,zstd_comp_1c_gb,simd_decomp_1c_raw_gb,simd_decomp_1c_ver_gb,simd_decomp_16c_raw_gb,simd_decomp_16c_ver_gb,lz4_decomp_1c_gb,snap_decomp_1c_gb,zstd_decomp_1c_gb
silesia,dickens,10192446,7595163,1.3420,1.5852,1.6076,2.3916,-15.35,0.32,2.16,0.46,0.47,0.38,1.47,1.34,4.90,4.45,3.73,1.34,1.37
silesia,mozilla,51220480,29051945,1.7631,1.9336,1.9190,2.5651,-8.82,0.37,1.41,0.69,0.68,0.48,1.95,2.00,14.08,16.35,2.64,1.85,0.73
silesia,mr,9970564,6305228,1.5813,1.8259,1.8327,2.6124,-13.40,0.43,2.83,0.84,0.77,0.53,1.90,1.70,5.56,6.38,3.90,1.88,1.50
silesia,nci,33553445,6206023,5.4066,6.0642,5.4587,11.7784,-10.84,1.13,7.10,1.20,1.37,1.02,4.85,4.15,19.52,20.76,4.54,3.30,0.94
silesia,ooffice,6152192,4585075,1.3418,1.4099,1.4268,1.7099,-4.83,0.26,2.05,0.77,0.59,0.46,1.89,1.72,3.01,3.25,3.67,1.79,1.26
silesia,osdb,10085684,4881945,2.0659,1.9102,1.8633,2.7041,8.15,0.52,2.96,0.77,0.88,0.57,4.35,3.54,5.65,6.70,3.64,2.60,1.66
silesia,reymont,6627202,4169459,1.5895,2.0817,2.0486,3.0870,-23.64,0.43,2.28,0.51,0.62,0.39,1.57,1.44,3.56,3.38,3.42,1.60,1.50
silesia,samba,21606400,8939867,2.4169,2.7994,2.6816,3.9339,-13.67,0.67,4.06,0.79,0.92,0.63,2.78,2.50,12.94,11.97,3.74,2.38,0.84
silesia,sao,7251944,6879999,1.0541,1.0632,1.1210,1.1605,-0.86,0.23,2.14,0.89,0.58,0.43,2.60,2.24,3.83,3.96,4.83,1.99,1.20
silesia,webster,41458703,23228932,1.7848,2.0583,2.0513,3.0346,-13.29,0.35,1.67,0.50,0.48,0.43,1.81,1.69,14.09,14.64,2.99,1.57,0.80
silesia,xml,5345280,1397569,3.8247,4.3542,4.0848,7.6995,-12.16,0.92,2.28,1.04,1.14,0.93,4.12,3.24,2.53,2.46,4.25,2.79,2.15
silesia,x-ray,8474240,8274470,1.0241,1.0069,1.0017,1.2514,1.71,0.21,2.46,2.72,8.16,0.85,2.88,2.67,4.04,4.11,16.38,26.37,1.40
workload,JSON Logs,26214400,3752721,6.9854,7.8224,6.7671,21.8355,-10.70,2.05,8.93,1.98,2.07,1.89,10.94,7.07,14.45,15.71,5.82,5.35,1.05
workload,Columnar DB,26214400,15597013,1.6807,2.1705,2.5366,15.3362,-22.57,0.78,4.25,0.85,1.09,1.18,3.11,2.60,9.51,8.67,2.42,2.01,1.01
workload,Binary RPC,26214400,2731566,9.5968,9.2471,9.1974,29.5085,3.78,3.77,12.94,2.41,4.89,2.26,14.89,8.17,9.93,12.53,8.08,8.23,1.15
workload,Source Code,26214400,1488933,17.6062,247.5556,11.7063,5716.1797,-92.89,5.62,14.17,9.57,4.71,8.88,18.98,9.75,13.42,13.92,19.75,7.86,1.35
