category,name,orig_bytes,simd_comp_bytes,simd_ratio,lz4_ratio,snap_ratio,zstd_ratio,ratio_deficit_pct,simd_comp_1c_gb,simd_comp_16c_gb,lz4_comp_1c_gb,snap_comp_1c_gb,zstd_comp_1c_gb,simd_decomp_1c_raw_gb,simd_decomp_1c_ver_gb,simd_decomp_16c_raw_gb,simd_decomp_16c_ver_gb,lz4_decomp_1c_gb,snap_decomp_1c_gb,zstd_decomp_1c_gb
silesia,dickens,10192446,7595273,1.3419,1.5852,1.6076,2.3916,-15.35,0.31,2.17,0.42,0.46,0.36,1.54,1.46,4.81,4.84,3.74,1.36,1.29
silesia,mozilla,51220480,28942163,1.7698,1.9336,1.9190,2.5651,-8.47,0.35,1.48,0.69,0.70,0.48,2.16,2.08,14.67,15.03,2.83,1.91,0.74
silesia,mr,9970564,6319096,1.5778,1.8259,1.8327,2.6124,-13.59,0.41,2.53,0.82,0.78,0.53,1.98,1.86,5.08,4.98,3.86,1.86,1.60
silesia,nci,33553445,6206043,5.4066,6.0642,5.4587,11.7784,-10.84,1.12,8.01,1.19,1.32,1.05,5.21,4.57,13.31,12.85,4.45,3.09,0.96
silesia,ooffice,6152192,4587445,1.3411,1.4099,1.4268,1.7099,-4.88,0.24,1.91,0.75,0.62,0.47,1.98,1.73,4.35,4.38,3.71,1.83,1.27
silesia,osdb,10085684,4887897,2.0634,1.9102,1.8633,2.7041,8.02,0.49,3.37,0.76,0.89,0.56,4.16,3.42,5.31,5.21,3.58,2.72,1.65
silesia,reymont,6627202,4166967,1.5904,2.0817,2.0486,3.0870,-23.60,0.43,2.44,0.51,0.61,0.40,1.67,1.51,4.38,4.34,3.44,1.59,1.45
silesia,samba,21606400,8864644,2.4374,2.7994,2.6816,3.9339,-12.93,0.63,4.75,0.77,0.90,0.65,2.99,2.56,9.84,9.58,3.71,2.40,0.84
silesia,sao,7251944,6880289,1.0540,1.0632,1.1210,1.1605,-0.87,0.21,1.90,0.88,0.60,0.42,2.60,2.29,4.54,4.56,4.91,2.04,1.18
silesia,webster,41458703,23229016,1.7848,2.0583,2.0513,3.0346,-13.29,0.35,1.66,0.50,0.51,0.43,1.91,1.80,12.33,12.88,2.97,1.55,0.79
silesia,xml,5345280,1398107,3.8232,4.3542,4.0848,7.6995,-12.19,0.91,3.08,1.08,1.13,0.93,4.37,3.48,4.28,4.21,4.33,2.95,2.10
silesia,x-ray,8474240,8299533,1.0211,1.0069,1.0017,1.2514,1.40,0.20,1.98,2.66,7.31,0.86,3.46,3.08,4.97,4.94,16.41,26.61,1.29
workload,JSON Logs,26214400,3700723,7.0836,7.8224,6.7671,21.8355,-9.45,2.08,8.64,1.99,2.14,1.92,9.70,6.55,11.41,12.42,6.31,5.40,1.02
workload,Columnar DB,26214400,15579936,1.6826,2.1705,2.5366,15.3362,-22.48,0.84,4.77,0.83,1.07,1.16,3.08,2.71,10.08,10.75,2.35,1.95,0.99
workload,Binary RPC,26214400,2716002,9.6518,9.2471,9.1974,29.5085,4.38,3.90,10.34,2.54,5.05,2.20,14.62,8.25,10.61,11.74,8.55,9.21,1.10
workload,Source Code,26214400,861542,30.4273,246.7214,11.1315,5269.2261,-87.67,5.24,12.14,7.72,4.48,8.79,20.54,10.00,10.47,12.11,16.34,7.79,1.29
