category,name,orig_bytes,simd_comp_bytes,simd_ratio,lz4_ratio,snap_ratio,zstd_ratio,ratio_deficit_pct,simd_comp_1c_gb,simd_comp_16c_gb,lz4_comp_1c_gb,snap_comp_1c_gb,zstd_comp_1c_gb,simd_decomp_1c_raw_gb,simd_decomp_1c_ver_gb,simd_decomp_16c_raw_gb,simd_decomp_16c_ver_gb,lz4_decomp_1c_gb,snap_decomp_1c_gb,zstd_decomp_1c_gb
silesia,dickens,10192446,8026460,1.2699,1.5852,1.6076,2.3916,-19.90,0.35,2.28,0.47,0.46,0.37,1.71,1.54,5.15,4.94,3.70,1.35,1.23
silesia,mozilla,51220480,30080045,1.7028,1.9336,1.9190,2.5651,-11.94,0.42,1.52,0.69,0.66,0.49,1.81,1.78,14.85,12.65,2.87,1.92,0.74
silesia,mr,9970564,6908985,1.4431,1.8259,1.8327,2.6124,-20.96,0.46,2.80,0.84,0.75,0.50,2.07,1.93,5.58,5.37,3.81,1.88,1.65
silesia,nci,33553445,6870278,4.8839,6.0642,5.4587,11.7784,-19.46,1.24,7.59,1.19,1.37,1.05,5.07,4.19,14.97,17.34,4.51,3.16,0.98
silesia,ooffice,6152192,4695950,1.3101,1.4099,1.4268,1.7099,-7.08,0.28,2.04,0.75,0.58,0.45,1.67,1.56,3.06,3.17,3.62,1.88,1.27
silesia,osdb,10085684,5122692,1.9688,1.9102,1.8633,2.7041,3.07,0.55,2.70,0.78,0.88,0.54,4.64,3.79,5.45,6.83,3.63,2.61,1.60
silesia,reymont,6627202,4520852,1.4659,2.0817,2.0486,3.0870,-29.58,0.48,2.22,0.50,0.61,0.40,1.86,1.81,3.55,3.41,3.44,1.62,1.44
silesia,samba,21606400,9419785,2.2937,2.7994,2.6816,3.9339,-18.07,0.74,3.99,0.79,0.91,0.63,2.86,2.61,12.55,11.99,3.73,2.43,0.83
silesia,sao,7251944,6923171,1.0475,1.0632,1.1210,1.1605,-1.48,0.24,2.23,0.92,0.60,0.43,2.50,2.30,3.69,3.74,4.87,2.03,1.20
silesia,webster,41458703,24773105,1.6735,2.0583,2.0513,3.0346,-18.69,0.38,1.68,0.50,0.50,0.43,1.90,1.89,12.56,13.20,2.94,1.58,0.80
silesia,xml,5345280,1538156,3.4751,4.3542,4.0848,7.6995,-20.19,1.01,2.33,1.07,1.11,0.88,4.50,3.73,2.47,2.51,4.20,2.89,2.21
silesia,x-ray,8474240,8411305,1.0075,1.0069,1.0017,1.2514,0.05,0.23,2.44,2.72,8.06,0.87,5.50,4.17,3.81,4.01,16.86,27.63,1.40
workload,JSON Logs,26214400,4293438,6.1057,7.8224,6.7671,21.8355,-21.95,2.15,10.42,1.99,2.26,1.95,9.43,6.24,11.86,12.88,5.90,5.21,0.99
workload,Columnar DB,26214400,17060319,1.5366,2.1705,2.5366,15.3362,-29.21,0.82,4.30,0.85,1.06,1.16,2.89,2.54,8.51,8.58,2.38,1.98,1.01
workload,Binary RPC,26214400,2861558,9.1609,9.2471,9.1974,29.5085,-0.93,4.04,11.92,2.47,5.25,2.31,11.30,7.26,16.40,18.50,8.42,9.23,1.13
workload,Source Code,26214400,1641650,15.9683,247.5556,11.7063,5716.1797,-93.55,6.03,12.41,10.14,4.49,7.62,16.99,9.97,11.76,13.85,20.56,8.54,1.40
