file,codec,orig_bytes,comp_bytes,comp_secs,decomp_secs
dickens,Alatirok,10192446,5615409,0.061378500,0.001672447
dickens,Alatirok-fast,10192446,5947331,0.027798371,0.002428297
dickens,liblz4,10192446,6428742,0.022140134,0.002622195
dickens,lz4_flex,10192446,6429559,0.021263186,0.003248354
dickens,LZAV,10192446,4799265,0.035311639,0.004080436
dickens,LZAV-hi,10192446,4066850,0.128343611,0.003425731
dickens,zstd-5,10192446,6954842,0.017496053,0.004468344
dickens,zstd-3,10192446,6347328,0.020294256,0.005000422
dickens,zstd-1,10192446,5773233,0.023223721,0.005528476
dickens,zstd1,10192446,4261734,0.023869506,0.006802735
dickens,zstd3,10192446,3663504,0.044470155,0.007929194
dickens,snappy,10192446,6340267,0.025417420,0.009427577
mozilla,Alatirok,51220480,26590762,0.123274431,0.008161648
mozilla,Alatirok-fast,51220480,26049370,0.081788323,0.012488273
mozilla,liblz4,51220480,26435667,0.069107833,0.011258577
mozilla,lz4_flex,51220480,26489333,0.068120142,0.016420980
mozilla,LZAV,51220480,23858089,0.096053239,0.016166461
mozilla,LZAV-hi,51220480,21628412,0.474709181,0.016399888
mozilla,zstd-5,51220480,27302787,0.060836325,0.021260414
mozilla,zstd-3,51220480,24746468,0.066145950,0.023407583
mozilla,zstd-1,51220480,21980797,0.074353775,0.025072351
mozilla,zstd1,51220480,19968503,0.085886240,0.035795616
mozilla,zstd3,51220480,18227296,0.131368528,0.036789347
mozilla,snappy,51220480,26690826,0.072161525,0.030834746
mr,Alatirok,9970564,5243420,0.027040622,0.001472059
mr,Alatirok-fast,9970564,5220247,0.016887993,0.002270766
mr,liblz4,9970564,5440937,0.013806848,0.002181600
mr,lz4_flex,9970564,5460624,0.013203268,0.003224918
mr,LZAV,9970564,4853973,0.020785725,0.003014062
mr,LZAV-hi,9970564,4274677,0.110780570,0.003361714
mr,zstd-5,9970564,5423749,0.012075888,0.003623306
mr,zstd-3,9970564,5266628,0.013421658,0.003769703
mr,zstd-1,9970564,5081279,0.015394483,0.004149382
mr,zstd1,9970564,3813409,0.019068297,0.006638307
mr,zstd3,9970564,3547526,0.036009880,0.007300554
mr,snappy,9970564,5440451,0.015440860,0.006542274
nci,Alatirok,33553445,4901043,0.045477655,0.004358383
nci,Alatirok-fast,33553445,5292937,0.031631333,0.004979157
nci,liblz4,33553445,5533040,0.027155639,0.005371124
